	id	text	label	confidence_pro	confidence_con	actual
52	28834	Dobrý pomocník za příznivou cenu.	0	0.999	0.001	0
53	33416	Nerezove jen přední dvířka.	1	0.005	0.995	1
54	31129	Není hlučná i při odstřeďování.	0	0.999	0.001	0
55	34169	Že její promáčknutí je způsobeno špatnou výstupní kontrolou ve výrobě nebo fórovým balením v krabici (žádné vycpávky jen kartony).	1	0.004	0.996	1
56	29950	Což byl pro nás jeden z důležitých faktorů.	0	0.996	0.004	0
57	32630	Oťukané (lehce pomačkané) už z výroby kdy rychle nabouchali poličky do lednice a pryč s ní.	0	0.997	0.003	1
58	29275	Luxusní moderní pračka od aeg.	0	0.999	0.001	0
59	29752	Dobře odložitelné nepřevrací se.	0	0.999	0.001	0
60	33496	Dveře se snadno ušpiní od otisků rukou.	0	0.994	0.006	1
61	32936	Takze konec odlozeneho prani musime dopocitavat v hlave.	1	0.003	0.997	1
62	33040	Krátká přívodní hadice na vodu.	0	0.994	0.006	1
63	33764	Červený přívodní kabel (u černého modelu).	0	0.998	0.002	1
64	29126	Ale je to dobrý.	1	0.042	0.958	0
65	32459	Zatím jsem nic nenašla.	1	0.004	0.996	1
66	29019	Možnost zkrácení doby praní.	0	0.999	0.001	0
67	30205	Jak popisují ostatní uživatelé.	1	0.008	0.992	0
68	35179	Pračka je poměrně hlučná.	1	0.003	0.997	1
69	29188	Tyčový v pohodě tatarku.	0	0.998	0.002	0
70	29751	Nástavec na bramborovou kaši.	0	0.994	0.006	0
71	33191	Trošku dražší sáčky sbag.	1	0.003	0.997	1
72	31852	Hledala jsem menší rozměry - jde to.	0	0.985	0.015	0
73	29679	Kterou bude možné vyměnit.	1	0.005	0.995	0
74	28878	Krásně našlehá pěnu na mléko.	0	0.998	0.002	0
75	30844	Které vůbec nebyly uvedeny v nabídce.	1	0.020	0.980	0
76	33723	Snad jen trochu hlučnější.	1	0.005	0.995	1
77	33980	Stále chybí voda a káva :o).	1	0.012	0.988	1
78	30617	Dá se mixovat i zrnková káva.	0	0.999	0.001	0
79	32863	Velmi těžké otevírání dvířek výparníku.	1	0.005	0.995	1
80	35603	Ktery jsem obratem odeslal zpet.	0	0.964	0.036	1
81	30713	Rychle a zručně v kuchyňské lince vyměnili starou chladničku za novou.	0	0.994	0.006	0
82	34509	Takže při zvedání se otočí 'na zadek'.	1	0.004	0.996	1
83	32418	Zaplatil jsem 1031 kč (nikdy už nedostanu zpět).	0	0.990	0.010	1
84	35599	Lehce člověk zmáčkne ten druhý.	1	0.335	0.665	1
85	32294	Osvětlení na vysávací hadici se zdá zprvu jako hloupost.	1	0.004	0.996	0
86	31927	Klidný a tichý chod po celou dobu praní.	0	0.999	0.001	0
87	34740	Ale pokud tam chcete dát třeba láhev.	1	0.007	0.993	1
88	30630	Velká a tichá lednice.	0	0.999	0.001	0
89	32392	Lednička je jak z papíru(oplechování).	0	0.547	0.453	1
90	32561	Ve staré lednici osvětlení nahoře.	1	0.005	0.995	1
91	35819	Píská několikát a v několika intervalech.	0	0.839	0.161	1
92	32921	Trochu šumí v zadní části.	1	0.003	0.997	1
93	29925	Vysoký výkon a spolelivost.	0	0.999	0.001	0
94	31732	Příprava kávy je jednoduchá a připravená káva je výborná.	0	0.998	0.002	0
95	31373	U toho nejrychlejšího ( stačí 1 - 2 minuty ) je vše totál rozmixované na jemnou kašičku.	0	0.996	0.004	0
96	31300	Že nebude jako ty profi z půjčovny.	1	0.258	0.742	0
97	33917	Mohl by mít navýjení kabelu.	1	0.003	0.997	1
98	34943	Pokud se dobíjecí základna přidělá na zeď.	1	0.005	0.995	1
99	35107	Plastové trubky jsou délkou spojené pro osoby cca do 180 cm výšky.	1	0.004	0.996	1
100	35705	Velké chvění při výdeji kávy.	0	0.999	0.001	1
101	31845	Sbírá všechno smetí na jakékoliv podlaze.	0	0.999	0.001	0
102	34132	Bylo by dobré i madlo k uchopení vysavače i nahoře.	1	0.005	0.995	1
103	32588	Výkon 700w motoru není tak špatný.	1	0.011	0.989	1
104	30213	Rychlá a jednoduchá obsluha.	0	0.999	0.001	0
105	28915	Zvládne bez problémů rozdrtit led.	0	0.995	0.005	0
106	35761	V zásobníku zůstávají celkem velké zbytky pracího prášku.	0	0.987	0.013	1
107	34594	Malou dětskou deku jsem musela nakonec vyždímat v rukách.	1	0.003	0.997	1
108	31916	Automatické propláchnutí při vypnutí přístroje.	0	0.998	0.002	0
109	34531	Nádobka je hluboká a pro čištění méně dostupná.	0	0.997	0.003	1
110	31914	Prádlo je téměř suché po vyprání.	0	0.999	0.001	0
111	30592	Prostě vezmu a jdu luxovat.	0	0.988	0.012	0
112	29760	Sledování stav praní on-line a projde i 60kama futrama.	0	0.999	0.001	0
113	32504	Nedostala jsem český návod.	1	0.003	0.997	1
114	31786	Jednoduchá montáž pracovní hlavy.	0	0.999	0.001	0
115	35901	Že baterie nějakou dobu vydrží.	0	0.944	0.056	1
116	30533	Granule brit mám vyzkoušené a můj hafík zřejmě taky.	0	0.992	0.008	0
117	34225	Zahnuté zakončení sací hadice plastové a při zatlačení na vysávací trubici se ohýbá.	1	0.003	0.997	1
118	30249	Spousta možností volby programu dle individuální potřeby.	1	0.010	0.990	0
119	29201	Krátký a superkrátký program.	0	0.997	0.003	0
120	33600	Mám ji v úzké komoře.	1	0.008	0.992	1
121	35796	I když je nedostatek kávy nebo vody.	0	0.984	0.016	1
122	28905	Odpovídá uváděným údajům a parametrům.	0	0.921	0.079	0
123	31208	Rozmixuje i semínka na smoothie.	0	0.999	0.001	0
124	31355	Odložený start a pod.	1	0.004	0.996	0
125	32327	Množství výměnných hubic na různá použití.	1	0.053	0.947	0
126	35577	Jen jedna štelovací noha.	1	0.003	0.997	1
127	31972	Dostane se opravdu všude.	0	0.987	0.013	0
128	32396	Aby případně trocha nápoje nevystříkla ven.	1	0.009	0.991	1
129	30330	Výborně vysává chlupy po psovi (krátkosrstý jezevčík).	0	0.999	0.001	0
130	35978	Je těžký a hlučný.	1	0.005	0.995	1
131	35813	Snad jen vyšší hmotnost a prostor potřebný pro instalaci.	1	0.004	0.996	1
132	31048	Sklenena nadoba a dost tezka tvrzene sklo.	0	0.995	0.005	0
133	29238	Dobré skušenosti ze značkou 'zanussi'-první vydržela.	0	0.999	0.001	0
134	30336	Značka eta mi dává záruku kvality.	0	0.999	0.001	0
135	32104	Dobře vyřešené vnitřní uspořádání.	0	0.999	0.001	0
136	31676	Příprava teplé vody na čaj.	0	0.979	0.021	0
137	34106	Skleněné poličky lze vyjmout jen při vysunutí ledničky z linky.	1	0.004	0.996	1
138	31824	Termokonvice - káva vydrží dlouho teplá.	0	0.998	0.002	0
139	35528	Že to nemůže byt až tak zlé.	1	0.023	0.977	1
140	28851	Mimo super vymoženosti a klady které už jsou vsude zmíněné.	0	0.999	0.001	0
141	35855	Nože se točí a obsah stojí a nic se neděje.	1	0.010	0.990	1
142	29347	Dá se s ním i vytírat podlaha.	0	0.998	0.002	0
143	28971	Ale musím říct že naplnilo veškere očekávaní i mnohem víc.	1	0.036	0.964	0
144	32642	Zatím o žádné nevím.	1	0.005	0.995	1
145	32262	Prostorné poličky ve dvířcích.	0	0.998	0.002	0
146	28898	Senzory na doplneni kavy a vody.	0	0.996	0.004	0
147	31371	Ovládací panel v češtině.	0	0.998	0.002	0
148	34034	Ší překlad návodu by moh být přehledněj.	1	0.004	0.996	1
149	33273	Cyklon pojme méně prachu než sáček sáčkového vysavače.	0	0.998	0.002	1
150	31183	To nemá chybu a je to super vysavač.	0	0.992	0.008	0
151	30631	Program freshcare+ kdy para provzdusnuje vyprane pradlo po ukonceni prani.	0	0.994	0.006	0
152	28796	Není třeba kupovat kapsle.	0	0.995	0.005	0
153	32480	Ale tím činí uvedenou skutečnost ještě méně důvěryhodnou již při samotném prvním sestavení vysavače.	1	0.006	0.994	1
154	29441	Ale bohužel po 6 dnech mi odešel termostat.	1	0.007	0.993	0
155	34942	Koberce saje tak silně.	1	0.007	0.993	1
156	30386	Snadné ovládání (i když jsem se trochu obávala).	0	0.999	0.001	0
157	35722	Vrchní deska (kryt) nesedí přesně.	1	0.004	0.996	1
158	31890	Tichá i při vysokých otáčkách.	0	0.999	0.001	0
159	34933	Abych mohl pohybovat hubicí.	1	0.004	0.996	1
160	35442	Která zcela přehluší hluk motoru.	1	0.013	0.987	1
161	32203	Výtečný pomocník do domácnosti za přijatelnou cenu.	0	0.999	0.001	0
162	28869	Který je součástí balení; dlouhá i krátká nastavovací tyč; snadná manipulace při nasazování nástavců; 5 rychlostí.	0	0.999	0.001	0
163	32705	Ale prádlo je opravdu čisté a voňavé.	0	0.990	0.010	1
164	34664	Vrzání gumového těsnění o sebe.	1	0.009	0.991	1
165	32946	Pouze klouže plast plast.	1	0.003	0.997	1
166	30781	Vnitřní prostory ledničky nejsou viditelně redukovány.	1	0.004	0.996	0
167	30612	Mame cervene a zelene.	0	0.999	0.001	0
168	31528	Velmi dobré chlazení při rozumném příkonu motoru oproti např.	0	0.999	0.001	0
169	35538	Proplachuje se při spuštění.	1	0.009	0.991	1
170	30774	Takže i přeplněný šuplík se dá pohodlně vytáhnout a nikde nedrhne.	0	0.994	0.006	0
171	35020	Volně visící odtoková hadice při sušení značně pulzuje.	1	0.003	0.997	1
172	34995	Vada na nerezi na spodních dveřích.	1	0.003	0.997	1
173	32231	Pobral vše s naprostým přehledem.	0	0.999	0.001	0
174	32016	Vše jak má být v této cenové relaci.	0	0.999	0.001	0
175	35210	Ale pouze na 10 i když je na něm 15 minut vyznačených.	1	0.004	0.996	1
176	35560	Pokud pijete u někoho na návštěvě rozpustné štve vás že tam není s váma :d váš kávovar.	0	0.973	0.027	1
177	29913	Takže nemohu posoudit jeho životnost.	0	0.984	0.016	0
178	32679	Displej neukazuje aktuální teplotu.	1	0.003	0.997	1
179	32357	Praktické a jednoduché používání.	0	0.999	0.001	0
180	31039	Jestli ho chceme použít jako ledničku nebo jako mrazák.	1	0.270	0.730	0
181	32166	Ani při dlouhodobém provozu 15 - 20 minut nebyl cítit žádný zápach a nedošlo k rozpojení tepelné pojistky.	1	0.003	0.997	0
182	33502	Na bázi mléka nejde dělat nic jiného než cappuccino.	1	0.003	0.997	1
183	30509	Půjčovala a půjčuje si ho celá rodina i příbuzný.	0	0.989	0.011	0
184	29823	Pro děti kdy jsou nemocné.	0	0.990	0.010	0
185	29604	Jednoduché nastavení předniího panelu.	0	0.999	0.001	0
186	29668	Než starší typ aeg.	0	0.999	0.001	0
187	30919	Víčka na všechny nádobky.	0	0.998	0.002	0
188	33096	Není chránící pytel na filtr.	1	0.023	0.977	1
189	28989	Výborná kávička v domácím prostředí.	0	0.999	0.001	0
190	31077	Při velkém sacím výkonu (400w).	1	0.024	0.976	0
191	30179	Nabíjí se jako mobil.	1	0.022	0.978	0
192	32188	I když ne vždy úplně do hladka.	0	0.984	0.016	0
193	29916	Moc hezký vzhled vysavače.	0	0.999	0.001	0
194	29900	Snadne sestaveni a obsluha.	0	0.999	0.001	0
195	30164	Tato značka je velmi kvalitní.	0	0.996	0.004	0
196	29620	Filtry se dobře čistí.	0	0.999	0.001	0
197	30574	Nadzvedne i linoleum :.	0	0.999	0.001	0
198	32348	Máme pejska a na chlupy používáme vysavač každý den.	0	0.998	0.002	0
199	32008	Hezký tvar a pevná konstrukce.	0	0.999	0.001	0
200	33323	Trochu složitější vysypávání nádobky.	1	0.003	0.997	1
201	32847	Pračka nejde otevřít po spuštění programu bez předchozího vypuštění vody.	1	0.003	0.997	1
202	30272	To jsou zkušenosti s týdenním používáním.	0	0.848	0.152	0
203	29166	Vykon na tak maly vysavac prekvapivy.	0	0.997	0.003	0
204	32553	Kolečka působí nestabilně i se zabrzděním se pohybuje na rovném povrch ale to je tím že je tak lehký.	1	0.006	0.994	1
205	33344	Ale je tam 'bath and bed'.	1	0.013	0.987	1
206	29028	České popisky (ne že by byly nutné.	1	0.006	0.994	0
207	30490	Dvě láhve v balení.	0	0.988	0.012	0
208	31910	Praní je co do kvality zdá se v pořádku.	0	0.996	0.004	0
209	31406	A velmi tichý provoz velice  příjemně překvapil.	0	0.999	0.001	0
210	33034	U běžného programu dlouhá doba praní.	1	0.006	0.994	1
211	29758	Zatím zvládl vše až překvapivě.	0	0.999	0.001	0
212	31884	Relativně výkonný (pro drobný denní úklid).	0	0.999	0.001	0
213	35622	Nebo malá brokolice apod.	1	0.011	0.989	1
214	30836	Úsporné do menších bytů kde není tolik místa.	0	0.999	0.001	0
215	31421	Ale asi záleží na druhu kávy.	1	0.005	0.995	0
216	32736	Že jde o pozastavení programu.	1	0.004	0.996	1
217	32143	Zásadní byla hloubka pračky pod 60 cm.	0	0.963	0.037	0
218	29088	Perfektní a jednoduchá obsluha.	0	0.999	0.001	0
219	35866	Ale za to se vyprazdnuje jednoduse.	1	0.029	0.971	1
220	35572	Které ani nepoužijete a které nepůsobí kvalitně.	0	0.996	0.004	1
221	31148	Oproti  daewoo co jsem měl  nesrovnatelně tichá.	0	0.998	0.002	0
222	29940	Dokonce mě překvapila lehkost.	0	0.997	0.003	0
223	30607	Mletí kávy těsně před přípravou.	1	0.073	0.927	0
224	31415	Velmi příjemná cena která byla o 50 % nižší nežli kdykoliv jinde.	0	0.999	0.001	0
225	35121	Tak se mu moc mixovat nechce.	1	0.005	0.995	1
226	28813	Ktere navic jdou manualne prednastavit.	1	0.005	0.995	0
227	29302	Nepouštím ani na 100% a mám potíže s ním hýbat po koberci.	1	0.036	0.964	0
228	31908	Zadní kolečka (lepší manipulace.	0	0.956	0.044	0
229	31836	Vejde se hodně věcí.	0	0.997	0.003	0
230	35847	Musite to znova vymachat.	1	0.003	0.997	1
231	29969	Lehce se udržuje v čistotě.	0	0.998	0.002	0
232	30448	Instalace a kratke zaskoleni zdarma.	0	0.997	0.003	0
233	31671	Bez problémů rozdrtí vše.	0	0.997	0.003	0
234	33231	Vše je z plastu.	1	0.011	0.989	1
235	32162	Dobrý výkon a čištění filtru.	0	0.999	0.001	0
236	32926	Ale podstatná nevýhoda: za chodu drnčí tak moc.	1	0.004	0.996	1
237	33934	Pokud nastavíte si v chladničce a mrazáku nastavíte nízkou teplotu.	1	0.107	0.893	1
238	35546	Nemá zvláštní zásobník na instantní kávu a jinak ji neumi připravit.	1	0.003	0.997	1
239	33306	Možná jsme ho tam nenasadili dokonale.	1	0.196	0.804	1
240	32673	Sľúbené dodať český prelep :-).	0	0.886	0.114	1
241	35787	Čela šuplíků a poličky ve dveřích jsou z průhledného křehkého plastu (to mají asi všechny značky).	1	0.003	0.997	1
242	33803	Coz muze byt neprijemne.	1	0.097	0.903	1
243	30856	Vyhovují nám boxy/šuplíky na zeleninu a ovoce.	0	0.999	0.001	0
244	34708	Zbytečně silná a těžká tyč.	1	0.013	0.987	1
245	34209	Ale to je i u konkurence stejné.	1	0.018	0.982	1
246	34370	Zatímmi vadí jen hlučnost.	1	0.010	0.990	1
247	31745	Splnuje vse pro pripravu smoothies.	0	0.999	0.001	0
248	30815	Opravdu výborné cappuccino (mléčná pěna je opravdu pěna).	0	0.999	0.001	0
249	30083	Dobře rozmixuje zeleninu i ovoce.	0	0.999	0.001	0
250	32605	Nerezový kryt pod šálky je leštěný a rychle se odře.	1	0.004	0.996	1
251	35721	Pere dele nez ukazuje program.	1	0.045	0.955	1
252	32789	Starší typy měly jiný filtr a ten to uměl.	1	0.401	0.599	1
253	30417	Dokonalá velikost pro dvě osoby.	0	0.999	0.001	0
254	34982	Indikátor teploty (černé kolečko v chladničce.	0	0.998	0.002	1
255	33377	Pít se dá ale dobře a drží.	1	0.064	0.936	1
256	33607	Než ty standardní (5ks).	1	0.029	0.971	1
257	32826	Takže zatím žádné zápory.	1	0.102	0.898	1
258	33975	Šuplíky se musí pro vyndání potravin celé vyndat.	1	0.003	0.997	1
259	35195	Bohuzel se nekde privod vody oddelil a voda vyteka ven misto do hrnicku.	0	0.985	0.015	1
260	31063	Příznivá cena přístroje malých rozměrů.	0	0.989	0.011	0
261	34981	Ani ve středu nezavolal nikdo.	1	0.021	0.979	1
262	29248	Na espresso super přístroj.	0	0.999	0.001	0
263	29035	Poradí si se vším.	0	0.999	0.001	0
264	30880	Konstrukce odpovídající spíše průmyslovým lednicím.	1	0.007	0.993	0
265	34920	Je třeba postupně zkoušet.	1	0.013	0.987	1
266	34969	Protoze jinak je to pomucka uzasna.	1	0.026	0.974	1
267	32870	Napěňovač mléka se hůře sundává a nandává.	1	0.034	0.966	1
268	29370	Se zbožím jsem velice spokojená.	0	0.999	0.001	0
269	29322	Šálek stojí na místě a necestuje.	0	0.995	0.005	0
270	28913	Než minulý křáp (jiná značka.	0	0.985	0.015	0
271	34203	Přístroj nemá možnost samostatného prohřátí nápoje párou.	1	0.003	0.997	1
272	30810	Velmi usporna-kvuli tomu jsem ji porizoval.	0	0.998	0.002	0
273	29414	Za slušné peníze dobrý produkt.	0	0.999	0.001	0
274	32438	Že vypínač kávovaru je vzadu u kabelu.	1	0.011	0.989	1
275	34163	Bílý plast vnitřních dílu se zabarvuje a nejde umýt.	1	0.004	0.996	1
276	31102	Zvládne ho úplný laik.	0	0.984	0.016	0
277	29548	Zatím jsem prala třikrát.	0	0.986	0.014	0
278	33820	Tiz se otvira mrazak.	1	0.018	0.982	1
279	29716	Baterie jsou univerzální v rámci řady výrobků ryobi one+.	0	0.998	0.002	0
280	30204	Než s klasickým vysavačem; je vždy po ruce; rotační kartáč - perfektně vysaje a načechrá koberce; absence přívodní šňůry a výměny nástavců.	0	0.999	0.001	0
281	29972	Super cena a kvalita ;).	0	0.999	0.001	0
282	28907	Chtěla jsem něco na rychlé vysátí.	0	0.990	0.010	0
283	29239	Za ktoru sa vysavač predáva som prekvapený ako vysáva.	0	0.999	0.001	0
284	30883	Značku gorenije dobre znam.	0	0.999	0.001	0
285	31135	Bez papirovych a nebo textilnich sacku.	0	0.992	0.008	0
286	32686	Zda nezůstal v otvorech vtlačený logr.	1	0.010	0.990	1
287	31684	Se kterými jsme se se starým vysavačem vztekali.	0	0.980	0.020	0
288	31075	Robi to na co som ho kupil a tym bolo vysavat podlahu a parkety po chlpoch od zvierat.	0	0.996	0.004	0
289	33104	Ale to asi bude problém všech současných vysavačů.	1	0.004	0.996	1
290	35162	Málem se mi to celé rozjelo po kuchyni.	1	0.008	0.992	1
291	35980	Pro tento případ  by však postačovali i menší sáčky třeba za výhodnější cenu :) ale nejsou.	1	0.004	0.996	1
292	29078	Ked nieco zabudnem tak info sa opakuje dokola.	1	0.004	0.996	0
293	31613	Kvalitní a silný přístroj.	0	0.999	0.001	0
294	35892	Zatím jsem žádnou neobjevila.	1	0.004	0.996	1
295	30667	Ale vse bez problemu.	0	0.977	0.023	0
296	29829	Všechny výhody přenosného vysavače - dětí všude drobí.	0	0.999	0.001	0
297	30327	Máme sice pár dní.	0	0.983	0.017	0
298	35659	Utratím víc za nákup :).	0	0.993	0.007	1
299	34815	Nelze tam dát větší.	1	0.003	0.997	1
300	35034	Abych musel přemýšlet a odhadovat a strachovat se jestli zrovna vyždíme nebo ne.	1	0.008	0.992	1
301	29436	Žádné smetí nebo drobky na zemi nezůstávají ani šmouhy při vytírání.	0	0.999	0.001	0
302	30201	Dal jsem mu nakonec přednost před vitamixem.	1	0.011	0.989	0
303	32748	Tento model je určen pro zástavbu do linky což nám nevyhovovalo.	1	0.007	0.993	1
304	30562	Ale nemusí se neustále dobíjet a je vždy spolehlivě připraven.	0	0.993	0.007	0
305	29085	Ten první pracuje bez poruchy skoro denně již přes dva roky.	0	0.989	0.011	0
306	30639	Malé rozměry tak akorát na chatu.	0	0.997	0.003	0
307	35371	Nevim co na řici.	1	0.004	0.996	1
308	34899	Už jsem viděl tišší spotřebiče.	1	0.078	0.922	1
309	34841	Na pevno přimontovaná odpadová roura.	1	0.004	0.996	1
310	32148	Lednice zatím pracuje v tichosti.	0	0.996	0.004	0
311	35054	Pro někoho může být nevýhodou poněkud vyšší váha odnímatelného ručního vysavače.	0	0.991	0.009	1
312	33674	Teleskopická trubice asi nic moc nevydrží.	1	0.003	0.997	1
313	31363	Jednoduché uvedení do provozu.	0	0.999	0.001	0
314	32108	Dobře se drží-celkem lehký.	0	0.997	0.003	0
315	35708	Je to prakticky celoplastovy vyrobek asi az na privodni snuru a motor.	0	0.994	0.006	1
316	33566	Dobíjení bez signalizace nabito musí se odhadnout doba nabíjení.	1	0.003	0.997	1
317	29413	Vynikající pomocník při hodně rychlém úklidu! :-).	0	0.999	0.001	0
318	28787	Že je krátká hadice.	1	0.004	0.996	0
319	29930	Díky tenkým stěnám je uvnitř obří.	1	0.007	0.993	0
320	31915	Dobrá pračka pro 1-2 osoby.	0	0.999	0.001	0
321	31880	Dvě kávy a filtr na kapsli (standard ese - zatím nevyzkoušeno).	0	0.999	0.001	0
322	33572	Že ve specifikaci výrobku není uved průměr hadice.	1	0.005	0.995	1
323	33189	Tak má mixér velký probém a vy taky - zřejmě špatně umístěné nože.	0	0.993	0.007	1
324	29590	Saci vykon dost dobry.	0	0.999	0.001	0
325	32556	Někdy při mixování zapáchá přepalováním kabelů či jiné hmoty.	1	0.004	0.996	1
326	34939	Pěchovátko je na nepraktickém místě zespod těla kávovaru.	1	0.003	0.997	1
327	33874	Ale evidentně podle průtoků počítal.	1	0.005	0.995	1
328	29255	Extremně tichá velká lednice.	0	0.999	0.001	0
329	33731	Ale pasuje plastové z předchozího mixéru.	1	0.004	0.996	1
330	29182	Kvalita za rozumnou cenu.	0	0.999	0.001	0
331	35527	Dvířka od pračky nelze otevřít na úplných 180° - starší model umožňoval.	1	0.003	0.997	1
332	33750	Malo se otviraji dvere tim padem se spatne vyndavaji supliky.	1	0.004	0.996	1
333	29962	Výběr vysavače-prach jde do vody.	0	0.998	0.002	0
334	29496	Hlučná je v mezích.	1	0.012	0.988	0
335	29017	Takze pri plnem filtru vysavac neshori.	1	0.011	0.989	0
336	35037	Téměř nesnesitelné pískání při průchodu vzduchu kolem sacího otvoru na konci hadice (tam.	1	0.003	0.997	1
337	31012	Vybrán na základě d testu.	0	0.998	0.002	0
338	32730	Pere priserne dlouho (i 4 hodiny) a opravdu to neni spatnou volbou programu.	1	0.008	0.992	1
339	29841	Vše jak má být.	0	0.999	0.001	0
340	31569	Plné hodnocení budu moci provést až po nějaké době plné zátěže produktu.	0	0.999	0.001	0
341	33716	Složitý tvar odkapávací misky není přívětivý pro umývání.	1	0.004	0.996	1
342	34719	Že výrobce odkazuje na univerzální (rozuměj neoptimalizovanou) turbohlavici.	1	0.005	0.995	1
343	31082	Skvely umyvatelny  hepa filter 13.	0	0.999	0.001	0
344	32487	Je to jen postesknutí.	1	0.353	0.647	1
345	29174	Koberec prosaje skrz naskrz.	1	0.008	0.992	0
346	33527	Musel jsem pilovat díry ve vrchním pantu.	1	0.003	0.997	1
347	30363	Používám k pravidelnému vysávání.	0	0.993	0.007	0
348	32183	Ale 4měsíční mimčo se ho neleká.	1	0.004	0.996	0
349	32222	Na vsechny druhy podlah i koberce.	0	0.999	0.001	0
350	30600	Kávovar za rozumnou cenu.	0	0.999	0.001	0
351	34221	Pouze 1m napouštěcí hadice.	1	0.004	0.996	1
352	32136	Možnost nastavení velikosti šálku.	0	0.999	0.001	0
353	32945	Že úchyty při manipulaci nevytrhnu.	1	0.014	0.986	1
354	32424	Vhodnejsi by bylo pero.	1	0.007	0.993	1
355	30613	Snad vydrží tolik co jeho předchůdce( 5 let) a je výkonný.	0	0.980	0.020	0
356	30534	Líbí se mi možnost nastavení síly kávy.	0	0.998	0.002	0
357	32502	Krátká hadice s rukojetí.	1	0.041	0.959	1
358	32489	Jinak téměř nic nevysaje.	1	0.004	0.996	1
359	28835	Vysoký sací výkon na všech površích.	0	0.999	0.001	0
